term;legal_form
SCI LES LILAS;SCI
SARL DUPONT ET FILS;SARL
SAS TECHNOLOGIE AVANCEE;SAS
SA GROUPE MARTIN;SA
EURL BOULANGERIE MOREL;EURL
SCI DU PARC;SCI
SARL LES TROIS MOUSQUETAIRES;SARL
SAS INNOVATION DIGITALE;SAS
SA TRANSPORT EXPRESS;SA
EURL GARAGE LAMBERT;EURL
SCI RESIDENCE DU LAC;SCI
SARL PLOMBERIE FONTAINE;SARL
SAS CONSEIL ET STRATEGIE;SAS
SA IMMOBILIER NATIONAL;SA
EURL FLEURISTE BONNET;EURL
SCI LE CLOS FLEURI;SCI
SARL BRASSERIE DU CENTRE;SARL
SAS DATA SOLUTIONS;SAS
SA CREDIT MUTUEL;SA
EURL PATISSERIE ROUX;EURL
SCI LES JARDINS;SCI
SARL MENUISERIE GIRARD;SARL
SAS ENERGIE VERTE;SAS
SA AVIATION CIVILE;SA
EURL PHARMACIE FAURE;EURL
SCI BELLE VUE;SCI
SARL ELECTRICITE MERCIER;SARL
SAS LOGISTIQUE RAPIDE;SAS
SA BANQUE POPULAIRE;SA
EURL OPTIQUE PERRIN;EURL
